,price_log,bedrooms,bathrooms,floors,condition_num,extracted_grade_num,waterfront_YES,greenbelt_YES,basement_1.0,sewer_PUBLIC,heat_Electricity/Solar,heat_Gas,heat_Gas/Solar,heat_Oil,sqft_lot_log,sqft_above_log,garage,patio
4559,12.380025952653611,3,3.0,1.0,3,7,0,0,0,1,0,0,0,0,8.942460926820582,7.265429723253953,0,1
5862,13.005829561148378,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0,8.536995818712418,6.551080335043404,0,0
24302,13.142166004700508,2,2.0,1.0,4,6,0,0,1,1,0,0,0,0,8.536995818712418,6.363028103540465,1,0
7640,12.84792653170257,2,1.0,1.0,2,6,0,0,0,1,0,0,0,1,8.760139370026627,6.684611727667927,0,0
5070,13.081541382884074,3,1.0,1.0,4,6,0,0,1,1,0,0,0,1,9.085457189829492,7.098375638590786,0,1
4925,13.049792684569493,2,1.5,1.5,5,6,0,0,0,1,0,1,0,0,8.801017833540714,7.251344983372214,0,1
21920,12.911642346088676,3,2.0,1.5,4,7,0,0,0,1,0,1,0,0,8.807621489536043,7.370230641807081,0,1
21166,13.253391639810733,4,2.0,1.5,4,7,0,0,1,1,0,0,0,1,8.79966169681513,7.1853870155804165,1,0
22214,12.886641043883259,3,2.0,1.0,3,6,0,0,0,1,0,1,0,0,9.102086786535928,7.029972911706386,0,1
10161,12.765688433465597,2,1.0,1.0,4,5,0,0,0,1,0,0,0,0,9.10320049641828,6.877296071497429,0,0
12951,13.17115354157376,3,2.0,1.5,3,6,0,0,0,1,0,1,0,0,8.64241515616962,7.562681246721884,0,0
28593,12.959844447906553,3,1.0,1.0,5,7,0,0,0,1,0,1,0,0,8.421342865759403,7.162397497355718,0,1
19541,13.151922179645874,3,1.0,2.5,4,7,0,0,0,1,0,0,0,0,9.112727543109182,7.620705086838262,0,1
5504,13.122363377404328,4,1.0,1.5,5,6,0,0,1,1,0,1,0,0,9.324739912284679,7.414572881350589,0,1
28409,14.187074114396758,3,2.5,1.0,4,8,0,0,1,1,0,1,0,0,9.035986984831405,7.122866658599083,1,1
14403,14.237504968023648,3,2.5,1.0,3,8,0,0,1,1,0,1,0,0,9.03884005381381,7.154615356913663,1,0
20455,14.316285845876763,3,3.0,1.0,4,7,0,0,1,1,0,1,0,0,8.948975607841776,7.222566018822171,1,1
18302,14.28551418721001,4,3.0,1.0,5,8,0,0,1,1,0,1,0,0,9.009936307631463,7.444248649496705,1,1
19356,14.592539222504922,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0,9.18574025510795,7.795646536334594,1,1
5794,13.38472764187182,2,1.0,1.0,3,7,0,0,1,1,0,0,0,0,8.294049640102028,6.709304340258298,0,1
19779,14.253765488895429,5,3.5,2.0,3,9,0,0,1,1,0,1,0,0,8.294049640102028,7.736307096548285,1,1
1138,14.73180128983843,3,3.0,2.0,3,9,0,0,1,1,0,1,0,0,8.294049640102028,7.904703913873747,1,1
5659,13.312983737012978,1,1.0,1.0,3,6,0,0,1,1,0,0,0,1,8.389359819906353,6.917705609835305,1,1
330,14.3333104051976,2,2.0,1.0,3,8,0,0,1,1,0,0,0,1,8.922658299524402,7.299797366758161,1,1
2492,14.28551418721001,2,1.5,1.0,3,7,0,0,1,1,0,0,0,1,8.699514748210191,6.856461984594587,1,1
9331,13.726679344257658,2,1.0,1.0,4,7,0,0,1,1,0,0,0,1,8.460622839927844,6.946975992135418,0,1
23835,13.567049198665774,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0,8.57922858233569,6.946975992135418,0,1
21550,13.217673557208654,2,1.0,1.0,4,6,0,0,1,1,0,0,0,0,8.57922858233569,6.633318433280377,0,1
27512,13.670484785914017,2,2.0,1.0,3,7,0,0,0,1,0,1,0,0,9.138844370271112,7.352441100243583,0,1
21891,13.142166004700508,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0,8.57922858233569,6.684611727667927,0,0
4608,13.122363377404328,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0,9.063115652219658,7.029972911706386,1,1
21387,13.345506928718539,3,1.0,1.0,4,7,0,0,0,0,0,0,0,1,9.822494393326597,7.346010209913293,0,0
10589,13.190022025878143,3,2.0,1.0,3,7,0,0,0,0,0,0,0,1,8.998631198287637,7.3395376954076745,1,0
354,13.819502579233811,6,4.5,2.0,3,10,0,0,0,1,0,1,0,0,9.250522161609014,8.266164436612492,1,1
6954,13.450227239488942,5,3.0,1.5,3,7,0,0,1,1,0,0,0,0,8.862483576488332,7.138866999945524,0,1
26650,12.80765263256463,3,1.0,1.0,3,7,0,0,0,1,0,1,0,0,9.477309402830421,7.038783541388542,0,0
17579,13.997832114758229,2,1.0,1.0,4,5,0,0,1,1,0,0,0,0,10.609205390269926,6.684611727667927,0,0
17578,13.997832114758229,4,2.5,1.5,3,7,0,0,1,1,0,0,0,0,9.95967883218587,7.106606137727303,0,0
25268,13.304684934198283,2,2.0,1.0,5,7,0,0,0,1,0,0,0,0,9.254357257392957,6.802394763324311,0,0
14507,13.639787185198546,4,3.0,2.0,3,9,0,0,0,1,0,1,0,0,9.173365135851288,8.016317898503415,1,1
814,13.9108207377686,2,2.0,1.0,3,6,0,0,0,1,0,0,0,0,10.057281025715545,6.779921907472252,0,0
17331,13.422467969854667,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.94324493313279,7.6638772587034705,1,1
11457,13.38472764187182,5,2.0,1.0,3,8,0,0,1,1,0,1,0,0,10.277289980135452,7.438383530044307,1,0
21288,13.180632285528304,4,1.0,1.0,4,6,0,0,0,1,0,0,0,1,9.255600503381046,7.365180126021013,1,0
13644,13.527828485512494,5,4.5,2.0,3,8,0,0,0,1,0,1,0,0,8.800113946766308,8.0925452638913,1,1
3898,13.658856747918897,3,3.0,2.0,3,8,0,0,0,0,0,1,0,0,8.997023381479709,7.605890001053122,1,1
15776,12.793859310432293,1,1.0,1.0,3,7,0,0,1,0,0,1,0,0,10.16877063004443,5.966146739123692,1,1
1818,13.199324418540456,4,3.0,1.0,3,7,0,0,1,0,0,1,0,0,9.593150789519541,7.358830898342354,0,1
5062,13.527828485512494,4,2.0,1.0,3,7,0,0,1,1,0,0,0,0,9.025816391627028,7.02108396428914,1,1
19113,13.262125319779487,2,2.0,1.0,3,6,0,0,1,1,0,0,0,1,10.144706750577567,6.802394763324311,0,0
24002,13.217673557208654,2,1.0,1.0,3,6,0,0,1,1,0,1,0,0,9.104979856318357,7.038783541388542,1,1
5136,13.91535589293399,4,2.0,1.0,3,8,0,0,0,1,0,1,0,0,10.57602377919195,8.024862150286411,1,1
16117,13.319573546692034,4,3.5,2.0,3,7,0,0,1,1,0,0,0,0,7.862497197230545,7.450079569807499,1,1
7382,13.422467969854667,4,3.5,2.0,3,7,0,0,1,1,0,0,0,0,7.762596048540069,7.484368643286131,1,1
24103,14.77102200299171,5,4.0,1.0,3,10,0,0,1,1,0,1,0,0,10.722892864566573,7.787382026484701,0,1
20481,14.878495668989233,5,4.5,3.0,3,10,0,0,0,1,0,1,0,0,9.773777421013383,8.113726085970747,1,1
27796,14.670649028844924,5,4.0,2.0,4,9,0,0,1,1,0,1,0,0,10.068662950495112,8.253227645581772,1,1
5392,15.089475734110245,4,3.5,2.0,4,11,0,0,1,1,0,1,0,0,9.69523261371567,8.25582842728183,1,1
22507,13.244581010128577,3,2.0,1.0,4,6,0,0,0,1,0,0,0,0,8.881975184248867,7.1308988302963465,0,1
23873,13.491164501140902,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0,8.992184362173012,7.146772179452637,1,1
10436,13.458835614025542,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0,8.867850063029406,7.02108396428914,1,1
14142,13.9108207377686,3,1.5,1.0,3,7,0,0,1,1,0,1,0,0,9.028338763993148,7.01211529430638,1,0
22430,13.579788224443204,4,2.0,1.0,3,7,0,0,0,1,0,0,0,0,8.934323331054905,7.177782416195197,0,0
11751,13.627975434117433,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0,9.340578848899913,8.006367567650246,1,1
5990,13.472949824002503,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0,9.056139690898883,7.832014180505469,1,1
9244,13.500799813124575,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0,8.902727664035522,7.832014180505469,1,1
736,13.815510557964274,4,4.0,2.0,3,10,0,0,1,1,0,1,0,0,9.61587214452889,7.955074273262696,1,1
24794,13.773646353865574,3,2.5,2.0,3,10,0,0,0,1,0,1,0,0,9.64387450001194,8.013012110368916,1,1
13950,13.334243736439827,3,2.5,1.0,4,7,0,0,1,0,0,1,0,0,9.39391114817057,7.114769448366463,1,1
15162,13.694472229587218,3,3.5,2.0,3,7,0,0,1,1,0,1,0,0,7.878912912297133,7.003065458786462,0,0
14270,13.764217263576723,5,3.5,2.0,3,8,0,0,1,1,0,1,0,0,8.472405008626103,7.7702232041587855,1,1
14582,13.94214320889764,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.294049640102028,7.83399634170946,1,1
26103,13.739708844547993,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.344505083590521,7.83399634170946,1,1
11265,13.99949739407729,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0,8.587092318795905,7.818832443803404,1,1
24908,13.77468856344402,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0,8.675734219544788,8.024207485778577,1,1
7843,13.928839243271277,5,3.5,2.0,3,8,0,0,1,1,0,1,0,0,8.302265794873367,7.7702232041587855,1,1
3988,13.8224861717007,4,3.5,2.0,3,8,0,0,1,1,0,1,0,0,8.409830673087738,7.833203948641057,1,1
6209,13.444446876573442,4,2.5,2.0,3,8,0,0,1,1,0,1,0,0,8.56331312702979,7.61085279039525,1,1
17770,13.422467969854667,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.460622839927844,7.600902459542082,1,1
15540,13.345506928718539,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0,8.566364235422688,7.795646536334594,1,1
16084,13.337474757021274,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0,8.476371196895983,7.855544677915663,1,1
17562,13.244581010128577,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0,8.476371196895983,7.787382026484701,1,1
13238,12.948009990259552,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0,9.044875932248651,7.630461261783627,1,1
11060,12.881228956569199,5,4.0,1.0,3,10,0,0,1,1,0,1,0,0,9.159047077588632,7.6255950721324535,1,1
2258,13.928839243271277,5,2.5,1.5,3,7,0,0,1,1,0,1,0,0,8.517193191416238,7.444248649496705,0,1
1218,13.997831281424547,3,1.5,1.5,3,8,0,0,1,1,0,1,0,0,8.411832675758411,7.414572881350589,1,1
24255,14.169682371684887,4,3.0,2.0,5,7,0,0,1,1,0,1,0,0,8.594154232552366,7.3395376954076745,1,1
23027,14.297936707208567,2,2.5,1.5,3,8,0,0,1,1,0,0,0,1,8.575273402492762,7.258412150595307,1,0
19312,13.16158409055761,3,2.0,1.0,3,8,0,0,0,1,0,1,0,0,8.902047345620277,7.396335293800808,1,1
21284,13.53579665516167,4,2.5,2.0,4,8,0,0,1,1,0,1,0,0,8.884610231886873,7.7664168980196555,1,1
13980,15.895528558459796,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0,6.580639137284949,6.733401891837359,0,1
13985,15.895528558459796,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0,6.807934943699926,6.802394763324311,0,1
13976,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.122866658599083,0,1
13983,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.122866658599083,0,1
13982,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.122866658599083,0,1
13986,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,7.570443252057374,7.122866658599083,0,1
13978,15.895528558459796,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0,6.8001700683022,6.756932389247553,0,1
13984,15.895528558459796,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0,6.588926477533519,6.84587987526405,0,1
13979,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.090076835776092,0,1
13981,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.090076835776092,0,1
13977,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,6.715383386334681,7.090076835776092,0,1
13987,15.895528558459796,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0,7.570443252057374,7.090076835776092,0,1
27295,13.638295938538464,3,2.0,1.0,4,8,0,0,1,1,0,0,0,0,8.703838719690246,6.877296071497429,0,0
20368,13.704578997256993,4,2.0,1.0,3,8,0,0,1,1,0,0,0,1,8.82981174915805,7.1929342212158,1,0
9324,13.422467969854667,3,2.0,1.0,3,6,0,0,1,1,0,0,0,1,8.766550149546351,6.856461984594587,0,1
6758,13.748301808270824,5,1.0,1.5,4,7,0,0,1,1,0,1,0,0,8.783549477153265,7.595889917718538,0,1
20530,13.840203170554645,4,2.0,1.0,3,7,0,0,1,1,0,0,0,1,8.785692444451245,7.047517221357296,1,1
5789,13.626768433367397,3,2.0,1.0,5,7,0,0,1,1,0,1,0,0,8.787220328629298,6.887552571664617,0,1
23618,13.545668403640825,2,1.0,1.0,3,7,0,0,1,1,0,0,0,1,8.787220328629298,6.672032945461067,1,1
20790,13.262125319779487,2,1.0,1.0,3,6,0,0,1,1,0,1,0,0,8.787220328629298,6.672032945461067,0,1
6463,13.709038313453757,3,2.0,2.0,3,7,0,0,1,1,0,1,0,0,8.787220328629298,7.333023014386481,0,1
19528,13.412043452518782,2,1.0,1.0,5,7,0,0,0,1,0,0,0,0,7.264730177929867,6.363028103540465,0,0
14278,13.847977748101776,2,1.0,1.0,3,7,0,0,1,1,0,1,0,0,7.893572073504902,6.927557906278317,1,0
18676,13.190022025878143,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0,9.433483923290392,7.038783541388542,1,1
7419,13.102160670086809,2,1.0,1.0,3,6,0,0,0,1,0,1,0,0,9.83037908071549,6.802394763324311,0,1
12895,13.235692062711331,4,2.5,1.0,3,7,0,0,1,1,0,1,0,0,9.053569596026234,7.05617528410041,1,1
28389,13.199324418540456,4,1.5,1.0,3,7,0,0,1,1,0,0,0,0,9.607437230413831,7.122866658599083,0,1
19895,13.287877815881902,3,1.5,1.0,4,7,0,0,0,0,0,0,0,1,9.469082700530256,7.31986492980897,1,1
14175,13.329377546788654,4,1.0,1.0,3,8,0,0,1,0,0,0,0,1,9.95227771670556,7.649692623711514,0,1
21733,13.337474757021274,4,2.0,1.0,5,6,0,0,0,0,0,0,0,0,9.097619501912064,7.358830898342354,0,1
1810,13.311329476916953,2,1.0,1.0,5,5,0,0,0,0,0,0,0,1,9.093806555720231,6.756932389247553,1,1
3621,13.493926933836812,4,2.0,1.0,5,6,0,0,1,0,0,0,0,0,9.102755161296246,6.907755278982137,1,1
8968,11.867469139366651,3,1.0,1.0,4,7,0,0,1,0,0,0,0,0,9.793728488543389,6.907755278982137,0,1
15126,13.217673557208654,4,1.0,1.0,4,6,0,0,0,0,0,0,0,0,9.194414221425923,7.146772179452637,0,0
4084,13.235692062711331,3,2.0,1.0,5,7,0,0,0,0,0,0,0,1,9.185022563991893,7.1853870155804165,0,0
21868,12.971540487669746,3,1.0,1.0,3,6,0,0,0,0,0,0,0,0,8.961879012677683,6.897704943128636,0,1
2774,13.106233995474446,3,1.0,1.0,4,6,0,0,0,0,0,0,0,0,9.499271663828395,6.897704943128636,1,1
4242,13.076319438902923,3,1.0,1.0,2,6,0,0,0,0,0,0,0,0,10.649701454032765,6.946975992135418,1,0
28727,13.304684934198283,1,1.5,1.0,4,7,0,0,1,1,0,0,0,1,9.872512748236698,7.047517221357296,0,1
15943,13.815510557964274,4,3.5,2.0,3,8,0,0,0,1,0,1,0,0,9.874316175235847,7.973844375944687,1,1
12868,12.584509081250419,2,2.0,1.0,3,7,0,0,0,1,0,1,0,0,10.552787333315797,7.114769448366463,0,0
16227,13.9108207377686,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0,9.02653771890043,8.047829357457841,1,1
2646,13.632788921148979,3,2.0,1.5,4,6,0,0,0,1,0,0,0,1,11.456619628759134,7.6544432264701125,0,0
13412,13.38472764187182,2,1.0,1.0,4,4,0,0,0,1,0,1,0,0,11.115562446115039,6.234410725718371,0,1
4780,13.369223455335854,3,2.0,2.0,5,6,0,0,1,0,0,0,0,0,10.021270588192511,7.305188215393037,0,1
1479,13.304683267530228,3,1.0,1.0,3,6,0,0,0,1,0,0,0,1,9.51044496442652,7.170119543449628,1,0
28865,14.53335035111459,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.495744852683906,8.361708288575842,1,1
15339,14.557447902693651,5,4.0,2.0,3,11,0,1,0,1,0,1,0,0,9.774744676643403,8.435983135990694,1,1
14408,14.806908762325234,4,4.5,2.0,3,12,0,1,0,1,0,1,0,0,10.003016095251029,8.503094267036737,1,1
3811,14.753562781619943,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.55094690773585,8.575462099540212,1,1
22046,14.669925886120343,5,4.5,2.0,3,11,0,0,0,1,0,1,0,0,9.5253700659462,8.560252680876685,1,1
22910,14.48333993053993,4,4.5,2.0,3,11,0,0,0,1,0,1,0,0,9.526245403371703,8.281470857895167,1,1
16416,14.550279413215039,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.786110684382555,8.371010681238156,1,0
11354,14.557447902693651,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.744667655527264,8.271292652979412,1,1
10536,14.71159858252091,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.940397906556225,8.400659375160286,1,1
1625,14.657077743642493,5,3.5,2.0,3,11,0,1,0,1,0,1,0,0,9.720225553665117,8.429454277108231,1,1
9686,14.587930919418728,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0,9.69393867348769,8.42726848388825,1,1
26224,14.803191285925102,5,4.5,2.0,3,11,0,0,0,1,0,1,0,0,9.744315955640873,8.511175119090675,1,0
18906,14.674172177001793,4,4.0,2.0,3,11,0,0,0,1,0,1,0,0,9.491828300264636,8.42726848388825,1,1
27783,14.690979295318174,4,4.5,2.0,3,11,0,0,0,1,0,1,0,0,9.621787551761894,8.472195825485501,1,1
13967,14.09692301740246,4,2.5,2.0,3,10,0,0,0,1,0,1,0,0,9.051110146405625,8.080237416216702,1,1
13200,14.285513562209815,4,4.0,2.0,3,10,0,0,0,1,0,1,0,0,8.82834762005316,8.194229304819817,1,1
11203,14.845129975145433,5,4.5,2.0,3,10,0,0,1,1,0,1,0,0,9.373733918884618,8.25582842728183,1,1
23538,14.81962900020395,4,2.5,2.0,3,10,0,0,1,1,0,1,0,0,9.32750099174976,8.224163512637862,1,1
21085,14.375126345899696,4,4.0,2.0,3,10,0,0,0,1,0,1,0,0,9.253878673990666,8.174702882469461,1,1
17897,14.7862894751225,4,3.5,2.0,3,10,0,0,0,0,0,1,0,0,11.76759093888735,8.299037181613066,1,1
9815,14.557447902693651,4,3.5,2.0,3,10,0,0,0,0,0,1,0,0,11.778476952534016,8.478452363099807,1,1
5762,13.614617615584883,3,2.5,2.0,3,7,0,1,1,1,0,1,0,0,8.638525476583762,7.432483807917119,1,1
15183,13.718448845121143,3,2.5,2.0,3,7,0,1,0,1,0,1,0,0,8.815073088844464,7.396335293800808,1,1
28437,13.619495674038317,4,2.5,2.0,3,7,0,0,0,1,0,0,0,0,8.044947049617722,7.506591780070841,1,1
4274,13.51979631381523,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0,8.00736706798333,7.326465613840322,1,1
28008,13.038981768465277,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0,8.959954084268098,7.426549072397305,1,0
18463,13.534473028231162,5,3.5,2.0,5,7,0,0,1,1,0,1,0,0,8.963544291996744,7.620705086838262,1,1
12449,13.151922179645874,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0,8.88336291691676,7.426549072397305,1,1
27912,12.936033799212835,3,1.0,1.0,5,6,0,0,0,1,0,1,0,0,9.264923249746474,6.956545443151569,1,1
27638,13.110290796170059,5,2.5,1.0,3,7,0,0,1,1,0,1,0,0,8.948975607841776,7.05617528410041,1,1
14872,13.38472764187182,4,3.0,1.0,5,7,0,0,1,1,0,1,0,0,9.116029692504942,6.946975992135418,1,1
13924,13.155798153490567,3,2.5,1.0,4,7,0,0,1,1,0,1,0,0,8.921324076511265,6.946975992135418,1,0
636,13.287877815881902,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0,8.987196820661973,6.802394763324311,1,1
1910,13.227722893061655,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0,8.874867635688053,6.956545443151569,1,1
