,price_log,sqft_lot,sqft_above,sqft_garage,sqft_patio,bedrooms,bathrooms,floors,condition_num,extracted_grade_num,waterfront_YES,greenbelt_YES,basement_1.0,sewer_PUBLIC,heat_Electricity/Solar,heat_Gas,heat_Gas/Solar,heat_Oil
1553,13.883169206438088,1616,1400,240,300,3,2.5,2.0,3,9,0,0,1,1,0,1,0,0
20654,14.201452999583575,3655,1590,200,40,4,2.0,2.0,4,8,0,0,1,1,0,0,0,0
7803,13.750438561220559,2575,1340,230,60,3,2.5,2.0,3,7,0,0,0,1,0,0,0,0
14250,13.527828485512494,5150,1450,0,190,3,1.0,1.5,3,7,0,0,1,1,0,1,0,0
24040,13.726679344257658,3863,1300,260,0,2,2.5,2.0,3,7,0,0,1,1,0,1,0,0
12450,13.651814465293484,5635,1100,0,280,4,2.0,1.0,5,7,0,0,1,1,0,1,0,0
15702,13.526494262499357,4600,1430,0,140,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
25678,13.345506928718539,27229,1510,0,290,5,3.0,1.0,5,7,0,0,1,0,0,0,0,0
16076,13.32612021491835,15419,1840,460,0,4,3.0,2.0,3,7,0,0,0,0,0,0,0,0
28377,14.077874822431765,3024,1530,470,60,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
26658,14.089347223594002,3696,1910,470,80,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
29830,14.010254634756786,2744,1530,470,0,4,3.5,2.0,3,8,0,0,1,1,0,1,0,0
28902,14.22097566607244,4510,1620,460,60,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
18737,14.347901959644826,8761,2370,690,0,4,2.5,2.0,3,10,0,0,0,1,0,1,0,0
3596,14.27293540500315,7931,2540,750,290,4,2.5,2.0,4,10,0,0,0,1,0,1,0,0
24065,14.735793311107967,12611,3010,750,350,5,3.0,2.0,4,10,0,0,0,1,0,1,0,0
8625,14.508657738524219,8904,2840,800,210,3,2.5,2.0,3,10,0,0,1,1,0,1,0,0
6100,14.659230597003594,10102,2280,790,140,4,2.5,2.0,4,9,0,0,1,1,0,1,0,0
15962,14.28551418721001,9896,2180,460,40,3,3.0,2.0,4,9,0,0,0,1,0,1,0,0
25144,14.610762961461374,9349,3130,680,340,6,4.0,2.0,4,9,0,0,1,1,0,1,0,0
17205,14.436087045689384,9385,1940,770,340,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0
22328,14.129591104270586,10516,1850,780,160,4,2.5,1.0,3,9,0,0,1,1,0,1,0,0
22530,14.606238066863083,9505,1940,770,160,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0
16682,14.406071149749119,15005,2890,730,0,3,3.0,2.0,3,9,0,0,1,1,0,1,0,0
18964,13.337474757021274,4800,2190,590,110,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
4559,12.380025952653611,7650,1430,0,180,3,3.0,1.0,3,7,0,0,0,1,0,0,0,0
5862,13.005829561148378,5100,700,0,0,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0
24302,13.142166004700508,5100,580,290,0,2,2.0,1.0,4,6,0,0,1,1,0,0,0,0
7640,12.84792653170257,6375,800,0,0,2,1.0,1.0,2,6,0,0,0,1,0,0,0,1
5070,13.081541382884074,8826,1210,0,110,3,1.0,1.0,4,6,0,0,1,1,0,0,0,1
4925,13.049792684569493,6641,1410,0,470,2,1.5,1.5,5,6,0,0,0,1,0,1,0,0
21920,12.911642346088676,6685,1588,0,340,3,2.0,1.5,4,7,0,0,0,1,0,1,0,0
21166,13.253391639810733,6632,1320,310,0,4,2.0,1.5,4,7,0,0,1,1,0,0,0,1
22214,12.886641043883259,8974,1130,0,130,3,2.0,1.0,3,6,0,0,0,1,0,1,0,0
10161,12.765688433465597,8984,970,0,0,2,1.0,1.0,4,5,0,0,0,1,0,0,0,0
12951,13.17115354157376,5667,1925,0,0,3,2.0,1.5,3,6,0,0,0,1,0,1,0,0
28593,12.959844447906553,4543,1290,0,40,3,1.0,1.0,5,7,0,0,0,1,0,1,0,0
19541,13.151922179645874,9070,2040,0,350,3,1.0,2.5,4,7,0,0,0,1,0,0,0,0
5504,13.122363377404328,11212,1660,0,110,4,1.0,1.5,5,6,0,0,1,1,0,1,0,0
28409,14.187074114396758,8400,1240,530,300,3,2.5,1.0,4,8,0,0,1,1,0,1,0,0
14403,14.237504968023648,8424,1280,540,0,3,2.5,1.0,3,8,0,0,1,1,0,1,0,0
20455,14.316285845876763,7700,1370,490,700,3,3.0,1.0,4,7,0,0,1,1,0,1,0,0
18302,14.28551418721001,8184,1710,500,60,4,3.0,1.0,5,8,0,0,1,1,0,1,0,0
19356,14.592539222504922,9757,2430,530,560,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0
5794,13.38472764187182,4000,820,0,70,2,1.0,1.0,3,7,0,0,1,1,0,0,0,0
19779,14.253765488895429,4000,2290,380,270,5,3.5,2.0,3,9,0,0,1,1,0,1,0,0
1138,14.73180128983843,4000,2710,410,230,3,3.0,2.0,3,9,0,0,1,1,0,1,0,0
5659,13.312983737012978,4400,1010,300,160,1,1.0,1.0,3,6,0,0,1,1,0,0,0,1
330,14.3333104051976,7500,1480,420,180,2,2.0,1.0,3,8,0,0,1,1,0,0,0,1
2492,14.28551418721001,6000,950,200,200,2,1.5,1.0,3,7,0,0,1,1,0,0,0,1
9331,13.726679344257658,4725,1040,0,300,2,1.0,1.0,4,7,0,0,1,1,0,0,0,1
23835,13.567049198665774,5320,1040,0,270,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0
21550,13.217673557208654,5320,760,0,170,2,1.0,1.0,4,6,0,0,1,1,0,0,0,0
27512,13.670484785914017,9310,1560,0,490,2,2.0,1.0,3,7,0,0,0,1,0,1,0,0
21891,13.142166004700508,5320,800,0,0,2,1.0,1.0,4,6,0,0,0,1,0,0,0,0
4608,13.122363377404328,8631,1130,290,360,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
21387,13.345506928718539,18444,1550,0,0,3,1.0,1.0,4,7,0,0,0,0,0,0,0,1
10589,13.190022025878143,8092,1540,460,0,3,2.0,1.0,3,7,0,0,0,0,0,0,0,1
354,13.819502579233811,10410,3890,840,380,6,4.5,2.0,3,10,0,0,0,1,0,1,0,0
6954,13.450227239488942,7062,1260,0,170,5,3.0,1.5,3,7,0,0,1,1,0,0,0,0
26650,12.80765263256463,13060,1140,0,0,3,1.0,1.0,3,7,0,0,0,1,0,1,0,0
17579,13.997832114758229,40506,800,0,0,2,1.0,1.0,4,5,0,0,1,1,0,0,0,0
17578,13.997832114758229,21156,1220,0,0,4,2.5,1.5,3,7,0,0,1,1,0,0,0,0
25268,13.304684934198283,10450,900,0,0,2,2.0,1.0,5,7,0,0,0,1,0,0,0,0
14507,13.639787185198546,9637,3030,600,40,4,3.0,2.0,3,9,0,0,0,1,0,1,0,0
814,13.9108207377686,23325,880,0,0,2,2.0,1.0,3,6,0,0,0,1,0,0,0,0
17331,13.422467969854667,7656,2130,690,140,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
11457,13.38472764187182,29065,1700,460,0,5,2.0,1.0,3,8,0,0,1,1,0,1,0,0
21288,13.180632285528304,10463,1580,480,0,4,1.0,1.0,4,6,0,0,0,1,0,0,0,1
13644,13.527828485512494,6635,3270,460,70,5,4.5,2.0,3,8,0,0,0,1,0,1,0,0
3898,13.658856747918897,8079,2010,690,120,3,3.0,2.0,3,8,0,0,0,0,0,1,0,0
15776,12.793859310432293,26076,390,1040,170,1,1.0,1.0,3,7,0,0,1,0,0,1,0,0
1818,13.199324418540456,14664,1570,0,580,4,3.0,1.0,3,7,0,0,1,0,0,1,0,0
5062,13.527828485512494,8315,1120,640,160,4,2.0,1.0,3,7,0,0,1,1,0,0,0,0
19113,13.262125319779487,25456,900,0,0,2,2.0,1.0,3,6,0,0,1,1,0,0,0,1
24002,13.217673557208654,9000,1140,240,950,2,1.0,1.0,3,6,0,0,1,1,0,1,0,0
5136,13.91535589293399,39184,3056,1150,1100,4,2.0,1.0,3,8,0,0,0,1,0,1,0,0
16117,13.319573546692034,2598,1720,480,20,4,3.5,2.0,3,7,0,0,1,1,0,0,0,0
7382,13.422467969854667,2351,1780,440,40,4,3.5,2.0,3,7,0,0,1,1,0,0,0,0
24103,14.77102200299171,45383,2410,0,690,5,4.0,1.0,3,10,0,0,1,1,0,1,0,0
20481,14.878495668989233,17567,3340,430,310,5,4.5,3.0,3,10,0,0,0,1,0,1,0,0
27796,14.670649028844924,23592,3840,810,640,5,4.0,2.0,4,9,0,0,1,1,0,1,0,0
5392,15.089475734110245,16240,3850,710,570,4,3.5,2.0,4,11,0,0,1,1,0,1,0,0
22507,13.244581010128577,7201,1250,0,50,3,2.0,1.0,4,6,0,0,0,1,0,0,0,0
23873,13.491164501140902,8040,1270,620,170,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0
10436,13.458835614025542,7100,1120,450,400,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0
14142,13.9108207377686,8336,1110,320,0,3,1.5,1.0,3,7,0,0,1,1,0,1,0,0
22430,13.579788224443204,7588,1310,0,0,4,2.0,1.0,3,7,0,0,0,1,0,0,0,0
11751,13.627975434117433,11391,3000,720,130,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0
5990,13.472949824002503,8571,2520,700,130,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0
9244,13.500799813124575,7352,2520,700,130,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0
736,13.815510557964274,15001,2850,910,440,4,4.0,2.0,3,10,0,0,1,1,0,1,0,0
24794,13.773646353865574,15427,3020,750,820,3,2.5,2.0,3,10,0,0,0,1,0,1,0,0
13950,13.334243736439827,12015,1230,430,100,3,2.5,1.0,4,7,0,0,1,0,0,1,0,0
15162,13.694472229587218,2641,1100,0,0,3,3.5,2.0,3,7,0,0,1,1,0,1,0,0
14270,13.764217263576723,4781,2369,399,161,5,3.5,2.0,3,8,0,0,1,1,0,1,0,0
14582,13.94214320889764,4000,2525,400,167,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
26103,13.739708844547993,4207,2525,400,167,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
11265,13.99949739407729,5362,2487,400,45,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
24908,13.77468856344402,5859,3054,490,36,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
7843,13.928839243271277,4033,2369,399,161,5,3.5,2.0,3,8,0,0,1,1,0,1,0,0
3988,13.8224861717007,4491,2523,400,159,4,3.5,2.0,3,8,0,0,1,1,0,1,0,0
6209,13.444446876573442,5236,2020,400,220,4,2.5,2.0,3,8,0,0,1,1,0,1,0,0
17770,13.422467969854667,4725,2000,480,190,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
15540,13.345506928718539,5252,2430,480,60,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
16084,13.337474757021274,4800,2580,440,550,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
17562,13.244581010128577,4800,2410,460,180,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
13238,12.948009990259552,8475,2060,440,130,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
11060,12.881228956569199,9500,2050,440,260,5,4.0,1.0,3,10,0,0,1,1,0,1,0,0
2258,13.928839243271277,5000,1710,0,200,5,2.5,1.5,3,7,0,0,1,1,0,1,0,0
1218,13.997831281424547,4500,1660,200,200,3,1.5,1.5,3,8,0,0,1,1,0,1,0,0
24255,14.169682371684887,5400,1540,200,120,4,3.0,2.0,5,7,0,0,1,1,0,1,0,0
23027,14.297936707208567,5299,1420,220,0,2,2.5,1.5,3,8,0,0,1,1,0,0,0,1
19312,13.16158409055761,7347,1630,440,450,3,2.0,1.0,3,8,0,0,0,1,0,1,0,0
21284,13.53579665516167,7220,2360,480,130,4,2.5,2.0,4,8,0,0,1,1,0,1,0,0
13980,15.895528558459796,721,840,0,420,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
13985,15.895528558459796,905,900,0,450,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
13976,15.895528558459796,825,1240,0,440,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13983,15.895528558459796,825,1240,0,440,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13982,15.895528558459796,825,1240,0,440,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13986,15.895528558459796,1940,1240,0,440,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13978,15.895528558459796,898,860,0,430,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
13984,15.895528558459796,727,940,0,470,2,2.0,2.0,3,8,0,0,1,1,0,0,0,0
13979,15.895528558459796,825,1200,0,380,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13981,15.895528558459796,825,1200,0,380,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13977,15.895528558459796,825,1200,0,380,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
13987,15.895528558459796,1940,1200,0,380,3,2.5,3.0,3,8,0,0,1,1,0,0,0,0
27295,13.638295938538464,6026,970,0,0,3,2.0,1.0,4,8,0,0,1,1,0,0,0,0
20368,13.704578997256993,6835,1330,240,0,4,2.0,1.0,3,8,0,0,1,1,0,0,0,1
9324,13.422467969854667,6416,950,0,40,3,2.0,1.0,3,6,0,0,1,1,0,0,0,1
6758,13.748301808270824,6526,1990,0,690,5,1.0,1.5,4,7,0,0,1,1,0,1,0,0
20530,13.840203170554645,6540,1150,360,270,4,2.0,1.0,3,7,0,0,1,1,0,0,0,1
5789,13.626768433367397,6550,980,0,200,3,2.0,1.0,5,7,0,0,1,1,0,1,0,0
23618,13.545668403640825,6550,790,310,300,2,1.0,1.0,3,7,0,0,1,1,0,0,0,1
20790,13.262125319779487,6550,790,0,310,2,1.0,1.0,3,6,0,0,1,1,0,1,0,0
6463,13.709038313453757,6550,1530,0,300,3,2.0,2.0,3,7,0,0,1,1,0,1,0,0
19528,13.412043452518782,1429,580,0,0,2,1.0,1.0,5,7,0,0,0,1,0,0,0,0
14278,13.847977748101776,2680,1020,240,0,2,1.0,1.0,3,7,0,0,1,1,0,1,0,0
18676,13.190022025878143,12500,1140,420,160,3,2.0,1.0,3,7,0,0,1,1,0,0,0,0
7419,13.102160670086809,18590,900,0,200,2,1.0,1.0,3,6,0,0,0,1,0,1,0,0
12895,13.235692062711331,8549,1160,460,80,4,2.5,1.0,3,7,0,0,1,1,0,1,0,0
28389,13.199324418540456,14875,1240,0,660,4,1.5,1.0,3,7,0,0,1,1,0,0,0,0
19895,13.287877815881902,12953,1510,550,640,3,1.5,1.0,4,7,0,0,0,0,0,0,0,1
14175,13.329377546788654,21000,2100,0,210,4,1.0,1.0,3,8,0,0,1,0,0,0,0,1
21733,13.337474757021274,8934,1570,0,160,4,2.0,1.0,5,6,0,0,0,0,0,0,0,0
1810,13.311329476916953,8900,860,312,220,2,1.0,1.0,5,5,0,0,0,0,0,0,0,1
3621,13.493926933836812,8980,1000,320,70,4,2.0,1.0,5,6,0,0,1,0,0,0,0,0
8968,11.867469139366651,17921,1000,0,160,3,1.0,1.0,4,7,0,0,1,0,0,0,0,0
15126,13.217673557208654,9842,1270,0,0,4,1.0,1.0,4,6,0,0,0,0,0,0,0,0
4084,13.235692062711331,9750,1320,0,0,3,2.0,1.0,5,7,0,0,0,0,0,0,0,1
21868,12.971540487669746,7800,990,0,250,3,1.0,1.0,3,6,0,0,0,0,0,0,0,0
2774,13.106233995474446,13350,990,490,240,3,1.0,1.0,4,6,0,0,0,0,0,0,0,0
4242,13.076319438902923,42180,1040,320,0,3,1.0,1.0,2,6,0,0,0,0,0,0,0,0
28727,13.304684934198283,19390,1150,0,252,1,1.5,1.0,4,7,0,0,1,1,0,0,0,1
15943,13.815510557964274,19425,2904,480,352,4,3.5,2.0,3,8,0,0,0,1,0,1,0,0
12868,12.584509081250419,38284,1230,0,0,2,2.0,1.0,3,7,0,0,0,1,0,1,0,0
16227,13.9108207377686,8321,3127,441,105,5,3.0,2.0,3,8,0,0,0,1,0,1,0,0
2646,13.632788921148979,94525,2110,0,0,3,2.0,1.5,4,6,0,0,0,1,0,0,0,1
13412,13.38472764187182,67209,510,0,140,2,1.0,1.0,4,4,0,0,0,1,0,1,0,0
4780,13.369223455335854,22500,1488,0,536,3,2.0,2.0,5,6,0,0,1,0,0,0,0,0
1479,13.304683267530228,13500,1300,320,0,3,1.0,1.0,3,6,0,0,0,1,0,0,0,1
28865,14.53335035111459,13303,4280,620,50,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
15339,14.557447902693651,17584,4610,930,140,5,4.0,2.0,3,11,0,1,0,1,0,1,0,0
14408,14.806908762325234,22093,4930,840,290,4,4.5,2.0,3,12,0,1,0,1,0,1,0,0
3811,14.753562781619943,14058,5300,1040,210,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
22046,14.669925886120343,13703,5220,1090,70,5,4.5,2.0,3,11,0,0,0,1,0,1,0,0
22910,14.48333993053993,13715,3950,730,100,4,4.5,2.0,3,11,0,0,0,1,0,1,0,0
16416,14.550279413215039,17785,4320,710,0,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
11354,14.557447902693651,17063,3910,1100,60,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
10536,14.71159858252091,20752,4450,750,650,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
1625,14.657077743642493,16651,4580,820,80,5,3.5,2.0,3,11,0,1,0,1,0,1,0,0
9686,14.587930919418728,16219,4570,820,80,4,3.5,2.0,3,11,0,0,0,1,0,1,0,0
26224,14.803191285925102,17057,4970,730,0,5,4.5,2.0,3,11,0,0,0,1,0,1,0,0
18906,14.674172177001793,13251,4570,840,80,4,4.0,2.0,3,11,0,0,0,1,0,1,0,0
27783,14.690979295318174,15090,4780,910,200,4,4.5,2.0,3,11,0,0,0,1,0,1,0,0
13967,14.09692301740246,8528,3230,680,80,4,2.5,2.0,3,10,0,0,0,1,0,1,0,0
13200,14.285513562209815,6825,3620,760,90,4,4.0,2.0,3,10,0,0,0,1,0,1,0,0
11203,14.845129975145433,11775,3850,850,120,5,4.5,2.0,3,10,0,0,1,1,0,1,0,0
23538,14.81962900020395,11243,3730,790,90,4,2.5,2.0,3,10,0,0,1,1,0,1,0,0
21085,14.375126345899696,10445,3550,760,90,4,4.0,2.0,3,10,0,0,0,1,0,1,0,0
17897,14.7862894751225,129003,4020,1000,260,4,3.5,2.0,3,10,0,0,0,0,0,1,0,0
9815,14.557447902693651,130415,4810,1070,440,4,3.5,2.0,3,10,0,0,0,0,0,1,0,0
5762,13.614617615584883,5645,1690,400,140,3,2.5,2.0,3,7,0,1,1,1,0,1,0,0
15183,13.718448845121143,6735,1630,340,60,3,2.5,2.0,3,7,0,1,0,1,0,1,0,0
28437,13.619495674038317,3118,1820,460,120,4,2.5,2.0,3,7,0,0,0,1,0,0,0,0
4274,13.51979631381523,3003,1520,530,30,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
28008,13.038981768465277,7785,1680,470,0,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0
18463,13.534473028231162,7813,2040,690,190,5,3.5,2.0,5,7,0,0,1,1,0,1,0,0
12449,13.151922179645874,7211,1680,440,526,4,2.5,2.0,4,7,0,0,0,1,0,1,0,0
27912,12.936033799212835,10561,1050,170,100,3,1.0,1.0,5,6,0,0,0,1,0,1,0,0
27638,13.110290796170059,7700,1160,460,80,5,2.5,1.0,3,7,0,0,1,1,0,1,0,0
14872,13.38472764187182,9100,1040,520,200,4,3.0,1.0,5,7,0,0,1,1,0,1,0,0
13924,13.155798153490567,7490,1040,520,0,3,2.5,1.0,4,7,0,0,1,1,0,1,0,0
636,13.287877815881902,8000,900,480,310,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0
1910,13.227722893061655,7150,1050,520,300,3,2.0,1.0,4,7,0,0,1,1,0,1,0,0
2369,13.028052697933088,7800,1040,520,310,3,2.5,1.0,3,7,0,0,1,1,0,1,0,0
15790,13.070964814318328,7480,1750,420,40,4,2.0,2.0,5,7,0,0,0,1,0,1,0,0
1180,13.071070083016778,7621,1740,460,0,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
1221,13.480037821676145,9412,2350,720,140,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0
6357,13.536953393289494,9565,2630,640,400,4,3.0,2.0,4,8,0,0,0,1,0,1,0,0
20873,14.403297222866392,5182,3160,410,50,5,3.0,2.0,3,9,0,0,0,1,0,1,0,0
13435,14.038654109278484,4600,1480,200,150,3,1.5,1.5,4,8,0,0,1,1,0,0,0,0
7889,13.62918097977278,4180,1270,240,150,2,2.0,1.5,3,7,0,0,1,1,0,1,0,0
5865,14.026581528044215,4680,1080,0,600,4,2.0,1.0,4,8,0,0,1,1,0,1,0,0
7744,13.473020249017498,7858,1800,720,260,3,2.5,2.0,5,7,0,0,0,1,0,1,0,0
19981,12.765688433465597,8311,1360,460,0,3,2.0,1.0,3,7,0,0,0,1,0,1,0,0
23684,13.190022025878143,7260,1350,440,180,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
5669,12.886641043883259,8066,990,460,570,3,3.0,1.0,5,7,0,0,1,1,0,1,0,0
17987,13.091904169919621,7630,1290,480,60,3,2.0,1.5,4,7,0,0,0,1,0,0,0,0
25828,13.112313041550827,7210,1170,480,160,3,2.0,2.0,3,7,0,0,0,1,0,0,0,0
6406,13.122363377404328,8391,1340,500,550,4,2.0,1.0,3,7,0,0,0,1,0,1,0,0
18963,13.122353377354328,8106,1160,400,0,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
158,13.038981768465277,8012,1130,480,80,3,2.0,2.0,4,7,0,0,0,1,0,0,0,0
26931,13.262125319779487,8106,1112,528,308,3,2.5,1.0,5,7,0,0,1,1,0,0,0,0
10308,12.911642346088676,11550,1210,890,0,4,2.5,1.0,3,7,0,0,0,1,0,0,0,0
1244,12.618182296357007,7247,1246,484,526,3,2.0,1.0,3,7,0,0,0,1,0,0,0,0
1247,13.253391639810733,7193,1290,440,400,3,2.5,1.0,5,7,0,0,1,1,0,1,0,0
21822,13.028052697933088,7080,1430,430,40,3,2.0,1.0,3,7,0,0,0,1,0,0,0,0
26112,13.203021280421783,6497,1270,350,110,3,3.0,1.0,5,7,0,0,0,1,0,0,0,0
16769,13.128146622160056,6430,1210,530,210,3,2.0,1.0,3,7,0,0,1,1,0,1,0,0
9078,13.142166004700508,5992,1300,510,100,4,3.0,1.0,3,7,0,0,1,1,0,1,0,0
9387,13.17115354157376,9128,1360,480,10,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
18064,13.091904169919621,6456,1320,480,270,3,2.0,1.0,3,7,0,0,0,1,0,1,0,0
25140,13.262125319779487,6060,1450,480,310,3,2.5,2.0,5,7,0,0,0,1,0,1,0,0
877,13.017002861746503,7328,1480,420,240,3,2.0,1.0,3,7,0,0,0,1,0,1,0,0
8942,13.270783382522602,5939,1600,420,0,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
20978,13.36138027787483,9479,1270,480,530,4,3.0,1.0,4,7,0,0,1,1,0,1,0,0
17994,13.514405465180353,6625,1990,420,50,4,2.5,2.0,3,7,0,0,0,1,0,1,0,0
17653,13.270783382522602,6360,2370,440,180,4,3.0,2.0,3,7,0,0,0,1,0,0,0,0
28356,13.312983737012978,9016,1600,400,1400,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0
30093,13.329377546788654,6180,1980,510,360,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
923,13.554145793829866,6180,2620,440,50,4,3.0,2.0,4,7,0,0,0,1,0,1,0,0
24173,13.071070083016778,6489,1770,440,120,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0
26675,13.134291948269603,6287,1920,460,70,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0
915,13.245562828871732,6300,1510,400,395,3,2.0,1.0,4,8,0,0,0,1,0,1,0,0
16349,13.304684934198283,6693,1930,462,0,4,2.5,2.0,4,8,0,0,0,1,0,1,0,0
26396,13.275599353303187,8239,2440,420,0,4,3.0,2.0,3,8,0,0,0,1,0,1,0,0
29357,13.585468264958907,8068,1180,0,0,3,2.0,1.0,4,6,0,0,0,1,0,0,0,0
12928,10.819778284410283,8168,1570,0,0,3,2.0,1.0,4,6,0,0,0,1,0,1,0,0
25660,13.38472764187182,8401,1100,360,0,2,1.0,1.0,4,6,0,0,0,1,0,1,0,0
